192.168.1.1,0,257,dev_d52
192.168.1.2,0,258,dev_d52
192.168.1.3,1,259,dev_d52
192.168.1.4,0,260,dev_d52
192.168.1.5,0,261,dev_d52
192.168.1.6,7,262,dev_d52
192.168.1.8,74,264,dev_d52
192.168.1.10,104,266,dev_d52
192.168.1.12,21,268,dev_d52
192.168.1.14,1,270,dev_d52
192.168.1.15,55,271,dev_d52
192.168.1.17,87,273,dev_d52
192.168.1.19,5,275,dev_d52
192.168.1.20,25,276,dev_d52
192.168.1.21,45,277,dev_d52
192.168.1.22,127,278,dev_d52
192.168.1.27,0,283,dev_d52
192.168.1.29,0,285,dev_d52
192.168.1.34,3,290,dev_d52
192.168.1.35,222,291,dev_d52
192.168.1.38,10,294,dev_d52
192.168.1.52,62,308,dev_d53
192.168.1.54,7,310,dev_d53
192.168.1.60,77,316,dev_d53
192.168.1.62,103,318,dev_d53
192.168.1.63,0,319,dev_d53
192.168.1.106,4,362,dev_d53
192.168.1.113,7,369,dev_d53
192.168.1.253,0,509,dev_d55
